event_type,vehicle_id,poi_id,h3_cell,ts_event,ts_arrive,ts_depart,dwell_seconds,lat,lon,event_id
ARRIVE,v02,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:04:41,2025-01-01T08:04:41,,240,25.75717885710533,-80.37350664430589,1
ARRIVE,v08,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:06:49,2025-01-01T08:06:49,,240,25.75717885710533,-80.37350664430589,2
ARRIVE,v01,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:08:14,2025-01-01T08:08:14,,241,25.75637387194089,-80.37654186932137,3
ARRIVE,v07,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:08:23,2025-01-01T08:08:23,,241,25.75637387194089,-80.37654186932137,4
DEPART,v02,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:08:40,,2025-01-01T08:08:40,240,25.75717885710533,-80.37350664430589,5
DWELL,v02,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:08:40,2025-01-01T08:04:41,2025-01-01T08:08:40,240,25.75717885710533,-80.37350664430589,6
ARRIVE,v04,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:09:08,2025-01-01T08:09:08,,241,25.75637387194089,-80.37654186932137,7
ARRIVE,v05,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:09:24,2025-01-01T08:09:24,,240,25.75717885710533,-80.37350664430589,8
DEPART,v08,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:10:48,,2025-01-01T08:10:48,240,25.75717885710533,-80.37350664430589,9
DWELL,v08,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:10:48,2025-01-01T08:06:49,2025-01-01T08:10:48,240,25.75717885710533,-80.37350664430589,10
DEPART,v01,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:12:14,,2025-01-01T08:12:14,241,25.75637387194089,-80.37654186932137,11
DWELL,v01,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:12:14,2025-01-01T08:08:14,2025-01-01T08:12:14,241,25.75637387194089,-80.37654186932137,12
DEPART,v07,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:12:23,,2025-01-01T08:12:23,241,25.75637387194089,-80.37654186932137,13
DWELL,v07,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:12:23,2025-01-01T08:08:23,2025-01-01T08:12:23,241,25.75637387194089,-80.37654186932137,14
DEPART,v04,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:13:08,,2025-01-01T08:13:08,241,25.75637387194089,-80.37654186932137,15
DWELL,v04,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:13:08,2025-01-01T08:09:08,2025-01-01T08:13:08,241,25.75637387194089,-80.37654186932137,16
ARRIVE,v10,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:13:08,2025-01-01T08:13:08,,241,25.75637387194089,-80.37654186932137,17
DEPART,v05,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:13:23,,2025-01-01T08:13:23,240,25.75717885710533,-80.37350664430589,18
DWELL,v05,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:13:23,2025-01-01T08:09:24,2025-01-01T08:13:23,240,25.75717885710533,-80.37350664430589,19
ARRIVE,v03,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:16:04,2025-01-01T08:16:04,,241,25.75637387194089,-80.37654186932137,20
ARRIVE,v01,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:16:27,2025-01-01T08:16:27,,240,25.75717885710533,-80.37350664430589,21
ARRIVE,v07,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:16:36,2025-01-01T08:16:36,,240,25.75717885710533,-80.37350664430589,22
DEPART,v10,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:17:08,,2025-01-01T08:17:08,241,25.75637387194089,-80.37654186932137,23
